Date,Company,Industry,Close,Volume
26-02-2020 00:00,HDFCLIFE,Financial Services,557.0499877929688,2313470
27-02-2020 00:00,HDFCLIFE,Financial Services,566.7000122070312,2985262
28-02-2020 00:00,HDFCLIFE,Financial Services,544.0999755859375,4380818
02-03-2020 00:00,HDFCLIFE,Financial Services,554.5,2299648
03-03-2020 00:00,HDFCLIFE,Financial Services,563.5,2844292
04-03-2020 00:00,HDFCLIFE,Financial Services,568.5999755859375,1735962
05-03-2020 00:00,HDFCLIFE,Financial Services,564.9500122070312,3821330
06-03-2020 00:00,HDFCLIFE,Financial Services,548.1500244140625,3494853
09-03-2020 00:00,HDFCLIFE,Financial Services,517.6500244140625,4577587
11-03-2020 00:00,HDFCLIFE,Financial Services,513.5499877929688,2971154
12-03-2020 00:00,HDFCLIFE,Financial Services,472.8999938964844,4797510
13-03-2020 00:00,HDFCLIFE,Financial Services,507.1499938964844,7973623
16-03-2020 00:00,HDFCLIFE,Financial Services,474.20001220703125,4058756
17-03-2020 00:00,HDFCLIFE,Financial Services,464.95001220703125,3291793
18-03-2020 00:00,HDFCLIFE,Financial Services,419.45001220703125,4743183
19-03-2020 00:00,HDFCLIFE,Financial Services,416.95001220703125,8358736
20-03-2020 00:00,HDFCLIFE,Financial Services,418.1000061035156,4857316
23-03-2020 00:00,HDFCLIFE,Financial Services,342.29998779296875,4439246
24-03-2020 00:00,HDFCLIFE,Financial Services,391.29998779296875,5260142
25-03-2020 00:00,HDFCLIFE,Financial Services,434.29998779296875,6171029
26-03-2020 00:00,HDFCLIFE,Financial Services,477.45001220703125,6462048
27-03-2020 00:00,HDFCLIFE,Financial Services,441.0,14440511
30-03-2020 00:00,HDFCLIFE,Financial Services,412.5,7106515
31-03-2020 00:00,HDFCLIFE,Financial Services,441.3500061035156,5414961
01-04-2020 00:00,HDFCLIFE,Financial Services,429.8999938964844,7414297
03-04-2020 00:00,HDFCLIFE,Financial Services,422.29998779296875,6997591
07-04-2020 00:00,HDFCLIFE,Financial Services,470.5,6387600
08-04-2020 00:00,HDFCLIFE,Financial Services,476.6000061035156,7175190
09-04-2020 00:00,HDFCLIFE,Financial Services,472.25,3633315
13-04-2020 00:00,HDFCLIFE,Financial Services,477.79998779296875,4143591
